checked_at_utc,Town,Field,Original URL,OK,Status,Final URL,Soft404,Elapsed ms,Error
2026-01-20T16:24:11.719710+00:00,Torrington,Application Form URL,https://www.torringtonct.org/sites/g/files/vyhlif12226/f/pages/regular_employment_application_revised_8-1-24_fillable_form_9.pdf,False,,,False,6828,"HTTPSConnectionPool(host='www.torringtonct.org', port=443): Max retries exceeded with url: /sites/g/files/vyhlif12226/f/pages/regular_employment_application_revised_8-1-24_fillable_form_9.pdf (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
2026-01-20T16:24:11.719710+00:00,Torrington,Employment Page URL,https://www.torringtonct.org/human-resources-department/pages/career-opportunities,False,,,False,7045,"HTTPSConnectionPool(host='www.torringtonct.org', port=443): Max retries exceeded with url: /human-resources-department/pages/career-opportunities (Caused by SSLError(SSLEOFError(8, '[SSL: UNEXPECTED_EOF_WHILE_READING] EOF occurred in violation of protocol (_ssl.c:1028)')))"
2026-01-20T16:24:11.719710+00:00,Voluntown,Application Form URL,https://docs.google.com/forms/d/e/1FAIpQLSc2J2VskxFaZiCpBRy_3jGH-bHyRaYPhCQmMJ5cbq0cWL3jOw/viewform,False,401,https://docs.google.com/forms/d/e/1FAIpQLSc2J2VskxFaZiCpBRy_3jGH-bHyRaYPhCQmMJ5cbq0cWL3jOw/viewform,False,6956,
2026-01-20T16:24:11.719710+00:00,Washington,Employment Page URL,https://www.washingtonct.org/board-of-selectmen/pages/employment,False,403,https://www.washingtonct.org/board-of-selectmen/pages/employment,False,6199,
2026-01-20T16:24:11.719710+00:00,West Hartford,Employment Page URL,https://www.westhartfordct.gov/town-departments/human-resources/job-openings,False,200,https://www.westhartfordct.gov/town-departments/human-resources/job-openings,True,8339,
2026-01-20T16:24:11.719710+00:00,Weston,Employment Page URL,https://www.westonct.gov/about-us/town-hall/municipal-job-openings,False,403,https://www.westonct.gov/about-us/town-hall/municipal-job-openings,False,6731,
2026-01-20T16:24:11.719710+00:00,Weston,Application Form URL,https://www.westonct.gov/home/showpublisheddocument/15257/638900795188300000,False,403,https://www.westonct.gov/home/showpublisheddocument/15257/638900795188300000,False,6847,
2026-01-20T16:24:11.719710+00:00,Westport,Employment Page URL,https://www.westportct.gov/government/departments-a-z/personnel-department/town-employment-opportunities,False,403,https://www.westportct.gov/government/departments-a-z/personnel-department/town-employment-opportunities,False,6982,
2026-01-20T16:24:11.719710+00:00,Westport,Application Form URL,https://www.westportct.gov/home/showpublisheddocument/100418/638702975798870000,False,403,https://www.westportct.gov/home/showpublisheddocument/100418/638702975798870000,False,6677,
2026-01-20T16:24:11.719710+00:00,Wilton,Employment Page URL,https://www.wiltonct.gov/node/36/subscriber-topic/employment-opportunities,False,403,https://www.wiltonct.gov/node/36/subscriber-topic/employment-opportunities,False,6632,
2026-01-20T16:24:11.719710+00:00,Willington,Employment Page URL,https://www.willingtonct.gov/home/pages/employment,False,404,https://www.willingtonct.gov/home/pages/employment,False,6821,
2026-01-20T16:24:11.719710+00:00,Willington,Application Form URL,https://www.willingtonct.gov/home/files/town-willington-employment-application,False,404,https://www.willingtonct.gov/home/files/town-willington-employment-application,False,6936,
2026-01-20T16:24:11.719710+00:00,Wilton,Application Form URL,https://www.wiltonct.gov/human-resources-department/files/employment-application,False,403,https://www.wiltonct.gov/human-resources-department/files/employment-application,False,6513,
2026-01-20T16:24:11.719710+00:00,Winchester,Employment Page URL,https://www.townofwinchester.org/job-openings,False,200,https://www.townofwinchester.org/job-openings,True,8014,
2026-01-20T16:24:11.719710+00:00,Woodstock,Employment Page URL,https://www.woodstockct.gov/services/employment-volunteer-opportunities,False,403,https://www.woodstockct.gov/services/employment-volunteer-opportunities,False,3548,
2026-01-20T16:24:11.719710+00:00,Woodstock,Application Form URL,https://www.woodstockct.gov/services/employment/files/employment-application,False,403,https://www.woodstockct.gov/services/employment/files/employment-application,False,3549,
