town,action,reason,changed_fields,timestamp
Ledyard,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Lisbon,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Litchfield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Lyme,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Madison,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Manchester,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Mansfield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Marlborough,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Meriden,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Middlebury,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Middlefield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Middletown,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Milford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Monroe,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Montville,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Morris,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Naugatuck,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Newington,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Newtown,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
New Britain,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
New Canaan,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
New Fairfield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
New Hartford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
New Haven,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
New London,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
New Milford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Norfolk,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
North Branford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
North Canaan,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
North Haven,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
North Stonington,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Norwalk,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Norwich,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Old Lyme,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Old Saybrook,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Orange,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Oxford,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Plainfield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Plainville,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Plymouth,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Pomfret,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Portland,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Preston,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Prospect,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Putnam,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Redding,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Ridgefield,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Rocky Hill,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
Roxbury,skipped,"status=unknown not in promote_statuses=('updated',)",,2026-01-29T17:58:52
