Town,action,application_updated,employment_page_type,employment_updated,new_application_url,new_employment_url,old_application_url,old_employment_url,platform,reason,source
Beacon Falls,needs_review,False,,False,,,,,civicplus,no_candidate_validated,
Chester,needs_review,False,,False,,,,,civicplus,no_candidate_validated,
East Hampton,needs_review,False,,False,,,,,civicplus,no_candidate_validated,
East Haven,updated,False,module_page,True,https://www.easthaven-ct.gov/civil-service-commission/files/standard-app,https://www.easthaven-ct.gov/Jobs.aspx,https://www.easthaven-ct.gov/civil-service-commission/files/standard-app,https://www.easthaven-ct.gov/civil-service/pages/job-notices-and-tests,civicplus,,civicplus_path
Essex,updated,True,module_page,True,https://www.essexct.gov/DocumentCenter/View/873/Application-for-Employment---FillablePDF,https://www.essexct.gov/354/Employment-Opportunities,https://www.essexct.gov/sites/g/files/vyhlif3116/f/pages/application_for_employment_-_fillable_2.pdf,https://www.essexct.gov/home/pages/employment-opportunities,civicplus,,homepage_link
Franklin,needs_review,False,,False,,,,,civicplus,no_candidate_validated,
Trumbull,needs_review,False,,False,,,,,civicplus,no_candidate_validated,
