checked_at,Town,field_name,original_url,final_url,status_code,redirected,soft404,validation_status,error,elapsed_ms,checked_at_utc,Field,Original URL,Final URL,Status,Soft404,OK
2026-04-17T17:33:51.186210+00:00,Bolton,application_form,https://files.aptuitivcdn.com/EzoynNLyL2-1704/docs/employment/Bolton_Employment_Application_2020_Fillable.pdf,https://files.aptuitivcdn.com/EzoynNLyL2-1704/docs/employment/Bolton_Employment_Application_2020_Fillable.pdf,200,False,False,working,,10082,2026-04-17T17:33:51.186210+00:00,Application Form URL,https://files.aptuitivcdn.com/EzoynNLyL2-1704/docs/employment/Bolton_Employment_Application_2020_Fillable.pdf,https://files.aptuitivcdn.com/EzoynNLyL2-1704/docs/employment/Bolton_Employment_Application_2020_Fillable.pdf,200,False,True
2026-04-17T17:33:51.186210+00:00,Bolton,employment_page,https://www.boltonct.gov/employment,https://www.boltonct.gov/employment,200,False,True,suspicious,,10276,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://www.boltonct.gov/employment,https://www.boltonct.gov/employment,200,True,False
2026-04-17T17:33:51.186210+00:00,Berlin,employment_page,https://www.berlinct.gov/category/index.php?categoryid=51,https://www.berlinct.gov/category/index.php?categoryid=51,200,False,False,working,,10389,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://www.berlinct.gov/category/index.php?categoryid=51,https://www.berlinct.gov/category/index.php?categoryid=51,200,False,True
2026-04-17T17:33:51.186210+00:00,Beacon Falls,application_form,https://www.beaconfalls-ct.org/DocumentCenter/View/932/Employment-Application-PDF,https://www.beaconfalls-ct.org/DocumentCenter/View/932/Employment-Application-PDF,200,False,False,working,,12089,2026-04-17T17:33:51.186210+00:00,Application Form URL,https://www.beaconfalls-ct.org/DocumentCenter/View/932/Employment-Application-PDF,https://www.beaconfalls-ct.org/DocumentCenter/View/932/Employment-Application-PDF,200,False,True
2026-04-17T17:33:51.186210+00:00,Bridgeport,employment_page,https://www.bridgeportct.gov/government/departments/civil-service/city-careers,https://www.bridgeportct.gov/government/departments/civil-service/city-careers,200,False,False,working,,7846,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://www.bridgeportct.gov/government/departments/civil-service/city-careers,https://www.bridgeportct.gov/government/departments/civil-service/city-careers,200,False,True
2026-04-17T17:33:51.186210+00:00,Bethany,employment_page,https://bethany-ct.com/employment,https://bethanyct.gov/,200,True,False,redirected,,16799,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://bethany-ct.com/employment,https://bethanyct.gov/,200,False,True
2026-04-17T17:33:51.186210+00:00,Bozrah,application_form,https://www.townofbozrah.org/135/Employment-Opportunities,https://www.townofbozrah.org/DocumentCenter/View/167/Employment-Application-PDF,200,True,False,redirected,,8567,2026-04-17T17:33:51.186210+00:00,Application Form URL,https://www.townofbozrah.org/135/Employment-Opportunities,https://www.townofbozrah.org/DocumentCenter/View/167/Employment-Application-PDF,200,False,True
2026-04-17T17:33:51.186210+00:00,Bridgewater,employment_page,https://www.bridgewater-ct.gov/1323/Employment-Opportunities,https://www.bridgewater-ct.gov/1323/Employment-Opportunities,200,False,False,working,,8179,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://www.bridgewater-ct.gov/1323/Employment-Opportunities,https://www.bridgewater-ct.gov/1323/Employment-Opportunities,200,False,True
2026-04-17T17:33:51.186210+00:00,Branford,employment_page,https://www.branford-ct.gov/273/Employment-Opportunities,https://www.branford-ct.gov/273/Employment-Opportunities,200,False,False,working,,8687,2026-04-17T17:33:51.186210+00:00,Employment Page URL,https://www.branford-ct.gov/273/Employment-Opportunities,https://www.branford-ct.gov/273/Employment-Opportunities,200,False,True
2026-04-17T17:33:51.186210+00:00,Branford,application_form,https://www.branford-ct.gov/DocumentCenter/View/1839/Employment-Application-2025-PDF,https://www.branford-ct.gov/DocumentCenter/View/1839/Employment-Application-2025-PDF,200,False,False,working,,8747,2026-04-17T17:33:51.186210+00:00,Application Form URL,https://www.branford-ct.gov/DocumentCenter/View/1839/Employment-Application-2025-PDF,https://www.branford-ct.gov/DocumentCenter/View/1839/Employment-Application-2025-PDF,200,False,True
